,Pathway_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325
hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),C00221,C15972,C01159,C00267,C06188,C06187,C00022,C01451,C00118,C00236,C00103,C05125,C00024,C00668,C16255,C00469,C05345,C00031,C00033,C00111,C00186,C00631,C05378,C00084,C00197,C15973,C00036,C06186,C00074,C00068,C01172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),C15972,C00026,C00022,C05125,C00024,C16255,C00122,C00417,C00158,C00311,C05379,C05381,C15973,C16254,C00036,C00042,C00074,C00149,C00068,C00091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsa00030,Pentose phosphate pathway - Homo sapiens (human),C03752,C00221,C01801,C00257,C00258,C20589,C00121,C00620,C00022,C00577,C04442,C00118,C00345,C00279,C00668,C05345,C00199,C00031,C06473,C01236,C00198,C00673,C00117,C05382,C06019,C00631,C05378,C00231,C01218,C00197,C01151,C00204,C00672,C01172,C00119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),C20680,C06441,C00508,C04575,C00474,C00714,C00532,C05411,C00026,C14899,C00022,C00167,C00433,C00470,C00103,C03033,C02266,C00476,C00029,C00312,C01068,C03291,C01904,C00191,C00789,C00514,C00266,C15930,C00199,C00379,C22337,C01101,C00502,C00111,C00310,C00817,C00905,C00558,C04349,C05412,C02753,C03826,C01508,C05385,C06118,C00618,C02273,C00231,C00216,C00800,C00333,C02426,C00204,C00116,C04053,C00309,C00181,C00259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),C01721,C00424,C00976,C00096,C00267,C00159,C01099,C11544,C01934,C03827,C00577,C00392,C01768,C00118,C00095,C20781,C00464,C02991,C00644,C02492,C05392,C00325,C05345,C02985,C18028,C02977,C00186,C00861,C02431,C01019,C00111,C00507,C01222,C00665,C02962,C06192,C18096,C01096,C01355,C01131,C00275,C05378,C03979,C01487,C00794,C01094,C00636,C02888,C11516,C01720,C03117,C00247,C03267,C05144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsa00052,Galactose metabolism - Homo sapiens (human),C00124,C05396,C05402,C00984,C06376,C01113,C05404,C00267,C00159,C06377,C01286,C00577,C00118,C00052,C00103,C00492,C00095,C00029,C00795,C00668,C01132,C03733,C01216,C00031,C03785,C00089,C02262,C06311,C05399,C05400,C00111,C00243,C01613,C00137,C01697,C00880,C00794,C05401,C00116,C00446,C02669,C01097,C03383,C00085,C01235,C05796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),C01146,C00096,C15926,C02670,C03921,C04575,C01115,C00617,C05411,C00026,C14899,C05422,C00022,C06316,C00167,C01825,C00433,C00878,C03033,C03291,C00029,C00818,C00879,C00191,C01040,C15930,C16186,C04037,C20889,C00652,C01101,C21955,C00558,C05412,C15925,C02280,C03289,C03826,C05385,C01620,C00618,C00137,C00231,C03064,C00800,C00333,C15924,C00545,C00684,C20896,C00216,C01041,C01114,C00072,C00259,C15923,C00679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsa00061,Fatty acid biosynthesis - Homo sapiens (human),C05764,C04688,C00712,C01530,C01209,C05760,C05757,C00249,C05223,C03939,C00229,C05753,C06424,C01571,C16221,C04180,C06423,C00154,C00173,C05746,C04620,C16219,C08362,C05754,C00024,C05745,C01203,C05762,C05750,C00083,C05756,C04633,C05759,C04246,C04088,C02843,C20794,C04619,C16220,C00383,C00693,C00638,C04618,C05751,C05752,C05763,C05744,C05749,C05755,C05748,C05747,C05761,C01271,C02679,C16520,C05758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsa00062,Fatty acid elongation - Homo sapiens (human),C01944,C05265,C20877,C00249,C05258,C20879,C05259,C05267,C05261,C01832,C05275,C00154,C03221,C05266,C00024,C20878,C05276,C00264,C00640,C05264,C05272,C00083,C02593,C05262,C05260,C00658,C05263,C05269,C02843,C00638,C05271,C20876,C05270,C00136,C05268,C05274,C00040,C05273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsa00071,Fatty acid degradation - Homo sapiens (human),C01144,C01944,C00340,C05280,C05265,C00162,C00249,C00517,C05258,C05259,C05267,C00229,C01832,C05275,C05261,C05279,C00154,C00823,C00071,C03221,C05266,C00024,C00226,C05276,C00010,C05264,C00527,C05272,C05260,C05262,C02593,C00435,C05263,C03547,C20683,C05269,C00638,C00332,C05102,C00489,C05271,C00136,C03561,C05270,C01371,C05268,C05274,C02990,C00877,C05273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
